fuck up|negative	
fucks up|negative	
fucked up|negative	
fucking up|negative	
hang up|negative	
hangs up|negative	
hanged up|negative	
hanging up|negative	
screw up|negative	
screws up|negative	
screwed up|negative	
screwing up|negative	
knocked up|negative	
knocks up|negative	
knock up|negative	
knocking up|negative	
cut up|negative	
cuts up|negative	
cutting up|negative	
act up|negative	
acting up|negative	
acts up|negative	
acted up|negative	
fuck off|negative	
fucks off|negative	
fucked off|negative	
fucking off|negative	
hang off|negative	
hangs off|negative	
hanged off|negative	
hanging off|negative	
screw off|negative	
screws off|negative	
screwed off|negative	
screwing off|negative	
knocked off|negative	
knocks off|negative	
knock off|negative	
knocking off|negative	
cut off|negative	
cuts off|negative	
cutting off|negative	
act off|negative	
acting off|negative	
acts off|negative	
acted off|negative	
fuck at|negative	
fucks at|negative	
fucked at|negative	
fucking at|negative	
hang at|negative	
hangs at|negative	
hanged at|negative	
hanging at|negative	
screw at|negative	
screws at|negative	
screwed at|negative	
screwing at|negative	
knocked at|negative	
knocks at|negative	
knock at|negative	
knocking at|negative	
cut at|negative	
cuts at|negative	
cutting at|negative	
act at|negative	
acting at|negative	
acts at|negative	
acted at|negative

