<3|positive
<33|positive
<333|positive
<3333|positive
<33333|positive
:(|negative
:-(|negative
D:|negative
:/|negative
=/|negative
=(|negative
):|negative
:-/|negative
=[|negative
;(|negative
:[|negative
;/|negative
/:|negative
]:|negative
:o(|negative
);|negative
;-(|negative
;@|negative
@:|negative
(-_-)|negative
:{|negative
:?|negative
:*(|negative
;[|negative
:o/|negative
8/|negative
8(|negative
:,(|negative
:)|positive
:D|positive
;)|positive
:-)|positive
:p|positive
:P|positive
=)|positive
(:|positive
;-)|positive
(:|positive
XD|positive
=D|positive
=]|positive
;D|positive
:]|positive
:-D|positive
^_^|positive
(8|positive
:o)|positive
:-P|positive
(;|positive
;P|positive
;]|positive
8)|positive
;o)|positive
(=|positive
[:|positive
8D|positive
:}|positive
8-)|positive
;-D|positive
(^_^)|positive
D=|positive
[=|positive
(^-^)/|positive
[8|positive
(-:|positive
[;|positive
8-]|positive
D8|positive
;}|positive
:-]|positive
{:|positive
